
User: 1	 Subjective test: 10
VIDEO	VIDEONAME	RATING	RATINGTIME
0	Simulated_jitterfile_Burstjitter_1000msDelayAt1720_2000000_480_2993.mp4	3	1744807931825
1	Simulated_jitterfile_Burstjitter_1000msDelayAt2320_2000000_480_2914.mp4	4	1744807941082
2	Simulated_jitterfile_Burstjitter_1000msDelayAt3040_2000000_480_1922.mp4	2	1744807949875
3	Simulated_jitterfile_Burstjitter_1000msDelayAt3400_2000000_480_2142.mp4	2	1744807958649
4	Simulated_jitterfile_Burstjitter_1000msDelayAt4840_2000000_480_3020.mp4	1	1744807966934

User: 2	 Subjective test: 21
VIDEO	VIDEONAME	RATING	RATINGTIME
0	Simulated_jitterfile_Burstjitter_1000msDelayAt2620_2000000_480_3075.mp4	3	1744806886338
1	Simulated_jitterfile_Burstjitter_1000msDelayAt4780_2000000_480_2823.mp4	1	1744806894712
2	Simulated_jitterfile_Burstjitter_1000msDelayAt4900_2000000_480_2837.mp4	2	1744806903497
3	Simulated_jitterfile_Burstjitter_1000msDelayAt4720_2000000_480_2814.mp4	1	1744806911888
4	Simulated_jitterfile_Burstjitter_1000msDelayAt1720_2000000_480_2993.mp4	1	1744806920195
5	Simulated_jitterfile_Burstjitter_1000msDelayAt1960_2000000_480_2869.mp4	2	1744806928712
6	Simulated_jitterfile_Burstjitter_1000msDelayAt4960_2000000_480_3202.mp4	3	1744806937178
7	Simulated_jitterfile_Burstjitter_1000msDelayAt2860_2000000_480_3081.mp4	3	1744806946262
8	Simulated_jitterfile_Burstjitter_1000msDelayAt4660_2000000_480_2746.mp4	2	1744806954854
9	Simulated_jitterfile_Burstjitter_1000msDelayAt4840_2000000_480_3020.mp4	1	1744806963220
10	Simulated_jitterfile_Burstjitter_1000msDelayAt1900_2000000_480_2590.mp4	4	1744806971862
11	Simulated_jitterfile_Burstjitter_1000msDelayAt4000_2000000_480_2747.mp4	3	1744806980271
12	Simulated_jitterfile_Burstjitter_1000msDelayAt2980_2000000_480_3173.mp4	3	1744806988695
13	Simulated_jitterfile_Burstjitter_1000msDelayAt4420_2000000_480_2917.mp4	2	1744806996886
14	Simulated_jitterfile_Burstjitter_1000msDelayAt3160_2000000_480_2004.mp4	3	1744807005504
15	Simulated_jitterfile_Burstjitter_1000msDelayAt4480_2000000_480_2846.mp4	4	1744807014188
16	Simulated_jitterfile_Burstjitter_1000msDelayAt4540_2000000_480_3025.mp4	3	1744807023773
17	Simulated_jitterfile_Burstjitter_1000msDelayAt3520_2000000_480_2318.mp4	3	1744807032974
18	Simulated_jitterfile_Burstjitter_1000msDelayAt4300_2000000_480_2829.mp4	4	1744807042099
19	Simulated_jitterfile_Burstjitter_1000msDelayAt4120_2000000_480_2868.mp4	3	1744807051624
20	Simulated_jitterfile_Burstjitter_1000msDelayAt3880_2000000_480_2704.mp4	2	1744807060015
21	Simulated_jitterfile_Burstjitter_1000msDelayAt3820_2000000_480_2698.mp4	3	1744807068782
22	Simulated_jitterfile_Burstjitter_1000msDelayAt3640_2000000_480_2458.mp4	3	1744807077341
23	Simulated_jitterfile_Burstjitter_1000msDelayAt2140_2000000_480_2894.mp4	1	1744807085632

User: 2	 Subjective test: 22
VIDEO	VIDEONAME	RATING	RATINGTIME
0	Simulated_jitterfile_Burstjitter_1000msDelayAt5000_2000000_480_3249.mp4	3	1744806701843
1	Simulated_jitterfile_Burstjitter_1000msDelayAt3220_2000000_480_2056.mp4	2	1744806711593
2	Simulated_jitterfile_Burstjitter_1000msDelayAt3700_2000000_480_2531.mp4	2	1744806720084
3	Simulated_jitterfile_Burstjitter_1000msDelayAt3760_2000000_480_2763.mp4	1	1744806730726
4	Simulated_jitterfile_Burstjitter_1000msDelayAt4600_2000000_480_2785.mp4	3	1744806743113
5	Simulated_jitterfile_Burstjitter_1000msDelayAt4240_2000000_480_2839.mp4	1	1744806752922
6	Simulated_jitterfile_Burstjitter_1000msDelayAt4360_2000000_480_2906.mp4	3	1744806762456
7	Simulated_jitterfile_Burstjitter_1000msDelayAt2200_2000000_480_2882.mp4	3	1744806773158
8	Simulated_jitterfile_Burstjitter_1000msDelayAt3280_2000000_480_2050.mp4	1	1744806782076
9	Simulated_jitterfile_Burstjitter_1000msDelayAt1840_2000000_480_2557.mp4	1	1744806790359
10	Simulated_jitterfile_Burstjitter_1000msDelayAt2800_2000000_480_3064.mp4	3	1744806798833
11	Simulated_jitterfile_Burstjitter_1000msDelayAt2740_2000000_480_3098.mp4	4	1744806807517
12	Simulated_jitterfile_Burstjitter_1000msDelayAt1600_2000000_480_2969.mp4	3	1744806816350
13	Simulated_jitterfile_Burstjitter_1000msDelayAt3340_2000000_480_2124.mp4	2	1744806826892
14	Simulated_jitterfile_Burstjitter_1000msDelayAt3580_2000000_480_2393.mp4	2	1744806835968
15	Simulated_jitterfile_Burstjitter_1000msDelayAt1660_2000000_480_2967.mp4	2	1744806844251
16	Simulated_jitterfile_Burstjitter_1000msDelayAt2020_2000000_480_2894.mp4	3	1744806852910
17	Simulated_jitterfile_Burstjitter_1000msDelayAt2080_2000000_480_2835.mp4	2	1744806861402
18	Simulated_jitterfile_Burstjitter_1000msDelayAt4060_2000000_480_2788.mp4	2	1744806869835
