VIDEO,VIDEONAME,RATING,RATINGTIME
0,Simulated_jitterfile_Burstjitter_1000msDelayAt2620_2000000_480_3075.mp4,3,1744806886338
1,Simulated_jitterfile_Burstjitter_1000msDelayAt4780_2000000_480_2823.mp4,1,1744806894712
2,Simulated_jitterfile_Burstjitter_1000msDelayAt4900_2000000_480_2837.mp4,2,1744806903497
3,Simulated_jitterfile_Burstjitter_1000msDelayAt4720_2000000_480_2814.mp4,1,1744806911888
4,Simulated_jitterfile_Burstjitter_1000msDelayAt1720_2000000_480_2993.mp4,1,1744806920195
5,Simulated_jitterfile_Burstjitter_1000msDelayAt1960_2000000_480_2869.mp4,2,1744806928712
6,Simulated_jitterfile_Burstjitter_1000msDelayAt4960_2000000_480_3202.mp4,3,1744806937178
7,Simulated_jitterfile_Burstjitter_1000msDelayAt2860_2000000_480_3081.mp4,3,1744806946262
8,Simulated_jitterfile_Burstjitter_1000msDelayAt4660_2000000_480_2746.mp4,2,1744806954854
9,Simulated_jitterfile_Burstjitter_1000msDelayAt4840_2000000_480_3020.mp4,1,1744806963220
10,Simulated_jitterfile_Burstjitter_1000msDelayAt1900_2000000_480_2590.mp4,4,1744806971862
11,Simulated_jitterfile_Burstjitter_1000msDelayAt4000_2000000_480_2747.mp4,3,1744806980271
12,Simulated_jitterfile_Burstjitter_1000msDelayAt2980_2000000_480_3173.mp4,3,1744806988695
13,Simulated_jitterfile_Burstjitter_1000msDelayAt4420_2000000_480_2917.mp4,2,1744806996886
14,Simulated_jitterfile_Burstjitter_1000msDelayAt3160_2000000_480_2004.mp4,3,1744807005504
15,Simulated_jitterfile_Burstjitter_1000msDelayAt4480_2000000_480_2846.mp4,4,1744807014188
16,Simulated_jitterfile_Burstjitter_1000msDelayAt4540_2000000_480_3025.mp4,3,1744807023773
17,Simulated_jitterfile_Burstjitter_1000msDelayAt3520_2000000_480_2318.mp4,3,1744807032974
18,Simulated_jitterfile_Burstjitter_1000msDelayAt4300_2000000_480_2829.mp4,4,1744807042099
19,Simulated_jitterfile_Burstjitter_1000msDelayAt4120_2000000_480_2868.mp4,3,1744807051624
20,Simulated_jitterfile_Burstjitter_1000msDelayAt3880_2000000_480_2704.mp4,2,1744807060015
21,Simulated_jitterfile_Burstjitter_1000msDelayAt3820_2000000_480_2698.mp4,3,1744807068782
22,Simulated_jitterfile_Burstjitter_1000msDelayAt3640_2000000_480_2458.mp4,3,1744807077341
23,Simulated_jitterfile_Burstjitter_1000msDelayAt2140_2000000_480_2894.mp4,1,1744807085632
